game_pk,pitcher,game_date_start,hits_allowed,walks,strikeouts,batters_faced,runs_allowed
718288,425794,2023-05-06,8,0,5,9,4
718211,425794,2023-05-12,7,1,2,9,4
718124,425794,2023-05-18,5,3,1,9,3
718059,425794,2023-05-23,8,1,2,9,5
717975,425794,2023-05-29,9,2,6,9,3
717879,425794,2023-06-05,8,2,3,9,3
717797,425794,2023-06-11,8,1,2,9,3
717718,425794,2023-06-17,7,2,3,9,2
717637,425794,2023-06-24,11,1,0,9,6
717566,425794,2023-06-29,6,3,1,9,6
717502,425794,2023-07-04,7,3,3,9,4
717268,425794,2023-07-24,4,2,3,9,2
717213,425794,2023-07-29,7,3,3,9,4
717127,425794,2023-08-04,9,2,5,9,7
717039,425794,2023-08-11,9,0,0,9,8
716958,425794,2023-08-17,4,3,2,9,3
716901,425794,2023-08-22,7,1,3,9,6
716809,425794,2023-08-28,8,3,1,9,1
716680,425794,2023-09-07,8,3,4,9,5
716621,425794,2023-09-12,7,3,3,9,2
716531,425794,2023-09-18,4,2,3,9,0
719045,425844,2023-03-19,8,3,0,9,11
718959,425844,2023-03-25,5,0,5,11,2
718775,425844,2023-03-30,7,1,4,9,1
718692,425844,2023-04-05,7,1,4,9,1
718630,425844,2023-04-10,6,1,3,9,4
718551,425844,2023-04-16,4,1,6,9,4
718466,425844,2023-04-22,7,0,2,9,4
718400,425844,2023-04-27,8,2,3,9,7
718314,425844,2023-05-03,3,0,3,9,0
718253,425844,2023-05-08,6,1,2,9,4
718183,425844,2023-05-13,3,1,5,9,2
718111,425844,2023-05-19,5,0,4,9,2
718039,425844,2023-05-24,4,1,5,9,1
717960,425844,2023-05-30,2,1,6,9,0
717876,425844,2023-06-06,4,0,3,9,2
717793,425844,2023-06-12,6,0,4,9,2
717712,425844,2023-06-18,8,2,3,9,4
717649,425844,2023-06-23,9,1,3,9,5
717573,425844,2023-06-29,11,2,0,9,2
717500,425844,2023-07-04,7,1,3,9,6
717332,425844,2023-07-20,4,2,1,9,2
717260,425844,2023-07-25,4,0,1,9,4
717170,425844,2023-08-01,4,0,3,9,1
717113,425844,2023-08-06,7,0,4,9,5
716888,425844,2023-08-22,2,0,5,10,0
716811,425844,2023-08-28,6,2,1,9,2
716739,425844,2023-09-03,5,2,0,9,3
716661,425844,2023-09-09,6,1,4,9,4
716577,425844,2023-09-15,3,1,1,9,0
716505,425844,2023-09-20,5,0,5,9,2
716433,425844,2023-09-26,1,1,5,9,0
716352,425844,2023-10-01,4,2,2,9,0
719114,434378,2023-03-15,1,0,8,9,0
719035,434378,2023-03-20,2,6,3,9,2
718944,434378,2023-03-26,8,4,2,9,3
718318,434378,2023-05-04,5,1,5,9,2
718225,434378,2023-05-10,2,2,7,9,1
718150,434378,2023-05-16,8,2,3,9,6
718082,434378,2023-05-21,3,0,5,9,1
718011,434378,2023-05-27,9,1,2,9,6
717929,434378,2023-06-02,5,3,8,9,1
717840,434378,2023-06-08,7,4,3,9,5
717766,434378,2023-06-14,3,0,6,9,1
717682,434378,2023-06-20,8,0,5,9,4
717607,434378,2023-06-26,5,3,5,9,0
717535,434378,2023-07-01,5,1,6,9,1
717454,434378,2023-07-07,5,3,2,9,3
717413,434378,2023-07-14,2,6,6,9,3
717341,434378,2023-07-19,3,1,7,9,1
717266,434378,2023-07-25,2,4,6,9,0
717203,434378,2023-07-30,5,1,5,9,1
717126,434378,2023-08-05,7,2,4,9,2
717037,434378,2023-08-11,6,0,7,9,3
716972,434378,2023-08-16,9,2,2,9,5
716895,434378,2023-08-22,5,2,9,10,0
716830,434378,2023-08-27,2,5,7,9,0
716763,434378,2023-09-01,8,1,3,9,6
716687,434378,2023-09-06,4,1,6,10,1
716614,434378,2023-09-12,8,0,7,9,5
716530,434378,2023-09-18,8,1,5,9,3
716436,434378,2023-09-25,3,1,8,9,0
716370,434378,2023-09-30,2,3,5,9,0
748568,434378,2023-10-07,4,4,6,9,0
748553,434378,2023-10-15,6,2,5,9,2
748550,434378,2023-10-20,6,1,3,9,4
744872,434378,2024-04-19,4,0,4,9,2
746887,434378,2024-04-25,3,4,7,9,0
746399,434378,2024-05-01,6,3,2,9,2
745752,434378,2024-05-07,8,3,2,9,7
746476,434378,2024-05-12,2,3,8,9,0
746389,434378,2024-05-18,4,2,3,9,4
745663,434378,2024-05-24,8,1,9,9,2
745250,434378,2024-05-29,3,1,9,9,1
746382,434378,2024-06-03,7,2,4,9,4
746216,434378,2024-06-09,7,2,3,9,4
746350,434378,2024-08-21,4,1,6,9,2
745540,434378,2024-08-27,7,1,3,9,4
746668,434378,2024-09-02,8,4,3,9,4
746345,434378,2024-09-08,8,2,0,9,8
746177,434378,2024-09-14,4,2,2,9,2
746340,434378,2024-09-20,8,2,4,9,4
746578,434378,2024-09-28,7,0,5,9,3
778843,434378,2025-03-17,3,2,6,9,0
778976,434378,2025-03-22,9,1,4,9,5
778540,434378,2025-03-29,6,1,5,9,2
778444,434378,2025-04-04,5,2,2,9,3
778376,434378,2025-04-09,5,3,9,9,5
778313,434378,2025-04-15,8,3,1,9,4
778232,434378,2025-04-20,2,2,6,9,1
778171,434378,2025-04-25,4,1,5,9,2
778098,434378,2025-05-01,5,1,4,9,2
778027,434378,2025-05-06,5,3,3,9,3
777939,434378,2025-05-12,9,1,5,9,2
777867,434378,2025-05-18,3,5,1,9,2
719087,445276,2023-03-17,1,0,1,4,0
719033,445276,2023-03-20,0,1,1,5,1
718984,445276,2023-03-24,2,1,0,5,2
718936,445276,2023-03-27,1,2,0,5,0
718761,445276,2023-04-01,1,1,2,5,0
718690,445276,2023-04-06,0,0,0,3,0
718654,445276,2023-04-09,2,1,2,6,0
718580,445276,2023-04-14,1,0,3,4,0
718576,445276,2023-04-15,0,0,0,3,0
718524,445276,2023-04-18,0,0,2,3,0
718483,445276,2023-04-21,0,0,2,3,0
718435,445276,2023-04-25,0,0,0,2,0
718385,445276,2023-04-29,3,0,1,6,1
718301,445276,2023-05-05,1,1,3,5,0
718284,445276,2023-05-06,1,0,1,4,0
718220,445276,2023-05-10,1,0,1,4,0
718211,445276,2023-05-12,3,1,0,4,3
718196,445276,2023-05-13,1,1,0,6,3
718092,445276,2023-05-20,0,2,0,5,0
718034,445276,2023-05-24,0,1,0,4,0
717991,445276,2023-05-27,0,0,1,3,0
717932,445276,2023-06-01,0,1,0,4,0
717885,445276,2023-06-03,3,1,1,7,2
717918,445276,2023-06-03,1,0,3,4,0
717873,445276,2023-06-06,0,0,1,3,0
717841,445276,2023-06-09,2,0,1,5,0
717810,445276,2023-06-11,0,0,1,3,0
717794,445276,2023-06-12,0,0,1,3,0
717715,445276,2023-06-18,1,0,2,4,0
717665,445276,2023-06-21,0,0,1,3,0
717645,445276,2023-06-23,0,0,1,3,0
717629,445276,2023-06-24,2,0,1,4,1
717569,445276,2023-06-29,3,0,1,5,1
717547,445276,2023-07-01,3,0,3,6,1
717484,445276,2023-07-05,0,0,0,3,0
717435,445276,2023-07-09,0,1,1,3,0
717419,445276,2023-07-14,0,0,1,1,0
717344,445276,2023-07-19,0,1,1,4,0
717309,445276,2023-07-22,1,0,0,2,1
717242,445276,2023-07-26,1,1,1,4,0
717220,445276,2023-07-28,0,0,2,3,0
717221,445276,2023-07-29,1,0,0,1,0
717167,445276,2023-08-01,0,0,1,3,0
717089,445276,2023-08-07,0,0,2,3,0
717059,445276,2023-08-09,1,1,1,4,1
717051,445276,2023-08-10,0,0,2,3,0
717014,445276,2023-08-13,1,0,0,4,0
716993,445276,2023-08-15,0,0,1,3,0
716928,445276,2023-08-20,1,1,2,5,0
716878,445276,2023-08-23,0,0,0,1,0
716794,445276,2023-08-30,0,0,1,3,0
716739,445276,2023-09-03,3,0,1,6,2
716722,445276,2023-09-04,0,0,0,3,0
716716,445276,2023-09-05,1,1,0,2,3
716612,445276,2023-09-12,1,1,0,3,0
747959,445276,2024-03-15,3,0,1,5,2
747877,445276,2024-03-21,0,0,2,3,0
747824,445276,2024-03-24,0,0,1,3,0
747802,445276,2024-03-26,0,0,1,3,0
745283,445276,2024-03-28,0,1,2,4,0
745680,445276,2024-04-02,0,2,2,5,0
745678,445276,2024-04-03,0,2,1,5,0
746249,445276,2024-04-05,0,0,1,3,0
746977,445276,2024-04-11,0,2,1,4,0
746975,445276,2024-04-14,1,2,2,6,1
746976,445276,2024-04-16,3,0,0,6,1
745515,445276,2024-04-20,0,0,2,3,0
746646,445276,2024-04-25,0,0,1,3,0
746967,445276,2024-04-28,0,0,1,3,0
745913,445276,2024-05-05,1,0,0,5,0
746964,445276,2024-05-10,2,1,3,6,2
746963,445276,2024-05-11,0,0,2,3,0
746965,445276,2024-05-12,1,0,0,4,0
746962,445276,2024-05-14,1,0,0,4,0
746959,445276,2024-05-16,2,1,2,6,2
745090,445276,2024-05-21,1,0,0,4,0
746957,445276,2024-05-26,0,0,2,3,0
746953,445276,2024-06-02,1,0,1,4,0
746787,445276,2024-06-09,1,0,5,7,0
746948,445276,2024-06-12,1,1,1,5,1
746946,445276,2024-06-15,0,0,0,4,0
744918,445276,2024-06-17,0,0,0,1,0
744917,445276,2024-06-18,0,0,1,3,0
746700,445276,2024-06-22,1,0,0,4,0
746699,445276,2024-06-23,1,0,0,4,0
746941,445276,2024-06-24,1,0,1,3,0
746938,445276,2024-06-30,0,0,1,3,0
746043,445276,2024-07-04,2,0,1,4,0
745725,445276,2024-07-05,1,0,0,4,0
745723,445276,2024-07-07,0,0,1,3,0
746932,445276,2024-07-14,2,1,3,8,1
746121,445276,2024-07-20,2,0,1,5,1
746125,445276,2024-07-21,3,0,1,6,3
746933,445276,2024-07-26,2,0,2,5,0
746931,445276,2024-07-27,2,0,1,5,1
746925,445276,2024-07-31,0,1,1,4,0
746273,445276,2024-08-06,0,0,3,4,0
746921,445276,2024-08-12,0,0,1,3,0
746924,445276,2024-08-13,0,0,1,4,0
747001,445276,2024-08-16,0,0,2,3,0
746997,445276,2024-08-17,0,0,1,3,0
746351,445276,2024-08-19,1,0,1,2,1
746349,445276,2024-08-20,0,0,0,3,0
746916,445276,2024-08-27,1,0,0,4,1
746913,445276,2024-08-28,0,0,1,3,0
746433,445276,2024-08-30,2,0,2,5,1
745776,445276,2024-09-04,1,3,1,5,1
746911,445276,2024-09-07,0,0,1,3,0
746908,445276,2024-09-11,1,0,0,3,0
745695,445276,2024-09-12,0,0,1,3,0
745040,445276,2024-09-18,0,2,2,5,0
746905,445276,2024-09-20,0,0,0,3,0
746903,445276,2024-09-22,0,0,1,3,0
778839,445276,2025-03-20,0,0,0,3,0
787998,445276,2025-03-23,2,2,0,6,2
787997,445276,2025-03-25,0,0,2,3,0
778534,445276,2025-03-29,0,1,2,4,0
778527,445276,2025-03-30,1,1,0,4,0
778495,445276,2025-04-01,0,0,1,3,0
778425,445276,2025-04-06,0,0,1,3,0
778417,445276,2025-04-08,2,0,2,5,0
778351,445276,2025-04-12,1,0,1,4,0
778260,445276,2025-04-18,0,0,0,3,0
778191,445276,2025-04-24,1,0,1,4,0
778085,445276,2025-05-02,6,0,1,8,4
778067,445276,2025-05-03,0,0,0,2,0
777986,445276,2025-05-09,1,0,0,3,1
777947,445276,2025-05-12,0,0,2,3,0
777932,445276,2025-05-13,1,1,0,2,2
777899,445276,2025-05-16,1,0,1,4,0
777884,445276,2025-05-17,1,0,0,5,0
777853,445276,2025-05-19,1,0,1,4,0
777843,445276,2025-05-20,2,0,2,5,1
777798,445276,2025-05-23,0,2,1,5,0
777721,445276,2025-05-30,1,2,0,6,1
719115,445926,2023-03-15,0,0,2,3,0
718965,445926,2023-03-25,0,0,1,3,0
718936,445926,2023-03-27,0,1,0,3,0
718780,445926,2023-03-30,2,0,1,6,1
718743,445926,2023-04-02,0,0,1,3,0
718711,445926,2023-04-04,0,0,1,3,0
718697,445926,2023-04-05,0,0,0,1,0
718676,445926,2023-04-07,0,0,2,3,0
718636,445926,2023-04-10,0,0,0,2,0
718620,445926,2023-04-11,1,0,1,4,0
718563,445926,2023-04-15,1,0,1,3,1
718533,445926,2023-04-17,1,1,0,4,0
718519,445926,2023-04-18,0,1,2,4,0
718489,445926,2023-04-21,3,1,0,4,3
718429,445926,2023-04-25,3,0,1,6,0
718410,445926,2023-04-27,1,0,1,2,2
718352,445926,2023-05-01,0,0,0,2,0
718321,445926,2023-05-03,1,1,1,5,0
718298,445926,2023-05-05,0,0,2,3,0
718277,445926,2023-05-07,1,0,1,4,1
718220,445926,2023-05-10,0,0,2,3,0
718192,445926,2023-05-13,0,1,1,3,0
718181,445926,2023-05-14,1,1,2,5,0
718126,445926,2023-05-17,1,0,2,5,0
718094,445926,2023-05-20,1,2,3,9,0
718042,445926,2023-05-24,1,0,0,3,0
718019,445926,2023-05-26,0,0,0,3,0
717997,445926,2023-05-27,0,0,3,3,0
717949,445926,2023-05-31,0,0,0,2,0
717901,445926,2023-06-03,1,2,3,6,1
717872,445926,2023-06-06,0,0,0,3,0
