team,game_date,half_inning,runs_1st,hits,walks,strikeouts,abs,pa,total_bases,runs_rolling10,OBP,SLG,K_rate,BB_rate
ATH,2025-03-15,Bot_1st,0,0,0,0,3,3,0.0,0.0,0.0,0.0,0.0,0.0
ATH,2025-03-15,Top_1st,0,2,0,0,4,4,2.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0
ATH,2025-03-16,Top_1st,0,0,0,1,3,3,0.0,0.0,0.2,0.2,0.1,0.0
ATH,2025-03-17,Bot_1st,0,1,0,0,4,4,2.0,0.0,0.21428571428571427,0.2857142857142857,0.07142857142857142,0.0
ATH,2025-03-19,Top_1st,0,0,1,0,3,4,0.0,0.0,0.2222222222222222,0.23529411764705882,0.05555555555555555,0.05555555555555555
ATH,2025-03-20,Top_1st,0,1,0,0,4,4,1.0,0.0,0.22727272727272727,0.23809523809523808,0.045454545454545456,0.045454545454545456
ATH,2025-03-21,Bot_1st,0,1,0,0,4,4,2.0,0.0,0.23076923076923078,0.28,0.038461538461538464,0.038461538461538464
ATH,2025-03-22,Bot_1st,0,1,0,0,3,3,1.0,0.0,0.2413793103448276,0.2857142857142857,0.034482758620689655,0.034482758620689655
ATH,2025-03-23,Top_1st,1,2,0,1,5,5,5.0,0.1111111111111111,0.2647058823529412,0.3939393939393939,0.058823529411764705,0.029411764705882353
ATH,2025-03-24,Top_1st,0,0,0,1,3,3,0.0,0.1,0.24324324324324326,0.3611111111111111,0.08108108108108109,0.02702702702702703
ATH,2025-03-27,Top_1st,0,0,0,1,3,3,0.0,0.1,0.24324324324324326,0.3611111111111111,0.10810810810810811,0.02702702702702703
ATH,2025-03-28,Top_1st,0,0,2,0,3,5,0.0,0.1,0.23684210526315788,0.3142857142857143,0.10526315789473684,0.07894736842105263
ATH,2025-03-29,Top_1st,0,0,0,0,3,3,0.0,0.1,0.23684210526315788,0.3142857142857143,0.07894736842105263,0.07894736842105263
ATH,2025-03-30,Top_1st,0,0,0,0,3,4,0.0,0.1,0.21052631578947367,0.2647058823529412,0.07894736842105263,0.07894736842105263
ATH,2025-03-31,Bot_1st,0,1,0,1,4,4,1.0,0.1,0.21052631578947367,0.2857142857142857,0.10526315789473684,0.05263157894736842
ATH,2025-04-01,Bot_1st,2,4,0,0,7,7,7.0,0.3,0.2682926829268293,0.42105263157894735,0.0975609756097561,0.04878048780487805
ATH,2025-04-02,Bot_1st,0,0,0,2,3,3,0.0,0.3,0.25,0.3783783783783784,0.15,0.05
ATH,2025-04-04,Top_1st,1,3,0,2,6,6,3.0,0.4,0.27906976744186046,0.4,0.18604651162790697,0.046511627906976744
ATH,2025-04-05,Top_1st,0,0,0,2,3,3,0.0,0.3,0.24390243902439024,0.2894736842105263,0.21951219512195122,0.04878048780487805
ATH,2025-04-06,Top_1st,2,2,0,1,5,5,5.0,0.5,0.27906976744186046,0.4,0.20930232558139536,0.046511627906976744
ATH,2025-04-07,Bot_1st,0,0,2,0,2,4,0.0,0.5,0.3181818181818182,0.41025641025641024,0.18181818181818182,0.09090909090909091
ATH,2025-04-08,Bot_1st,6,6,1,1,9,10,8.0,1.1,0.3877551020408163,0.5333333333333333,0.1836734693877551,0.061224489795918366
ATH,2025-04-09,Bot_1st,0,0,0,0,3,3,0.0,1.1,0.3877551020408163,0.5333333333333333,0.1836734693877551,0.061224489795918366
ATH,2025-04-11,Bot_1st,0,0,0,2,3,3,0.0,1.1,0.3958333333333333,0.5333333333333333,0.22916666666666666,0.0625
ATH,2025-04-12,Bot_1st,0,0,0,2,3,3,0.0,1.1,0.3829787234042553,0.5227272727272727,0.2553191489361702,0.06382978723404255
ATH,2025-04-13,Bot_1st,0,1,0,1,4,4,2.0,0.9,0.3409090909090909,0.43902439024390244,0.29545454545454547,0.06818181818181818
