game_pk,half_inning,label
716352,Bot_1st,0
716352,Top_1st,1
716353,Bot_1st,1
716353,Top_1st,1
716354,Bot_1st,1
716354,Top_1st,1
716355,Bot_1st,0
716355,Top_1st,1
716356,Bot_1st,1
716356,Top_1st,1
716357,Bot_1st,0
716357,Top_1st,1
716358,Bot_1st,0
716358,Top_1st,1
716359,Bot_1st,0
716359,Top_1st,0
716360,Bot_1st,0
716360,Top_1st,0
716361,Bot_1st,1
716361,Top_1st,1
716362,Bot_1st,0
716362,Top_1st,1
716363,Bot_1st,0
716363,Top_1st,0
716364,Bot_1st,1
716364,Top_1st,1
716365,Bot_1st,1
716365,Top_1st,0
716366,Bot_1st,1
716366,Top_1st,1
716367,Bot_1st,0
716367,Top_1st,0
716368,Bot_1st,0
716368,Top_1st,1
716369,Bot_1st,1
716369,Top_1st,1
716370,Bot_1st,0
716370,Top_1st,0
716371,Bot_1st,0
716371,Top_1st,1
716372,Bot_1st,1
716372,Top_1st,0
716373,Bot_1st,1
716373,Top_1st,1
716374,Bot_1st,1
716374,Top_1st,1
716375,Bot_1st,1
716375,Top_1st,1
716376,Bot_1st,1
716376,Top_1st,1
716377,Bot_1st,0
716377,Top_1st,0
716378,Bot_1st,1
716378,Top_1st,1
716379,Bot_1st,0
716379,Top_1st,0
716380,Bot_1st,0
716380,Top_1st,1
716381,Bot_1st,1
716381,Top_1st,1
716382,Bot_1st,1
716382,Top_1st,1
716383,Bot_1st,0
716383,Top_1st,1
716384,Bot_1st,0
716384,Top_1st,1
716385,Bot_1st,1
716385,Top_1st,0
716386,Bot_1st,0
716386,Top_1st,1
716387,Bot_1st,1
716387,Top_1st,1
716388,Bot_1st,0
716388,Top_1st,1
716389,Bot_1st,1
716389,Top_1st,0
716390,Bot_1st,1
716390,Top_1st,0
716391,Bot_1st,1
716391,Top_1st,0
716392,Bot_1st,0
716392,Top_1st,1
716393,Bot_1st,0
716393,Top_1st,1
716394,Bot_1st,1
716394,Top_1st,0
716395,Bot_1st,1
716395,Top_1st,0
716396,Bot_1st,1
716396,Top_1st,0
716397,Bot_1st,0
716397,Top_1st,0
716398,Bot_1st,1
716398,Top_1st,1
716399,Bot_1st,1
716399,Top_1st,0
716400,Bot_1st,0
716400,Top_1st,1
716401,Bot_1st,0
716401,Top_1st,1
716402,Bot_1st,1
716402,Top_1st,0
716403,Bot_1st,0
716403,Top_1st,0
716404,Bot_1st,1
716404,Top_1st,0
716405,Bot_1st,1
716405,Top_1st,1
716406,Bot_1st,0
716406,Top_1st,0
716407,Bot_1st,1
716407,Top_1st,0
716408,Bot_1st,0
716408,Top_1st,1
716409,Bot_1st,1
716409,Top_1st,0
716410,Bot_1st,1
716410,Top_1st,1
716411,Bot_1st,1
716411,Top_1st,0
716412,Bot_1st,1
716412,Top_1st,0
716413,Bot_1st,0
716413,Top_1st,0
716414,Bot_1st,1
716414,Top_1st,1
716415,Bot_1st,1
716415,Top_1st,1
716416,Bot_1st,1
716416,Top_1st,1
716417,Bot_1st,0
716417,Top_1st,0
716418,Bot_1st,1
716418,Top_1st,1
716419,Bot_1st,0
716419,Top_1st,0
716420,Bot_1st,0
716420,Top_1st,1
716421,Bot_1st,1
716421,Top_1st,1
716422,Bot_1st,1
716422,Top_1st,1
716423,Bot_1st,1
716423,Top_1st,0
716424,Bot_1st,1
716424,Top_1st,0
716425,Bot_1st,0
716425,Top_1st,1
716426,Bot_1st,1
716426,Top_1st,0
716427,Bot_1st,1
716427,Top_1st,0
716428,Bot_1st,0
716428,Top_1st,1
716429,Bot_1st,1
716429,Top_1st,0
716430,Bot_1st,0
716430,Top_1st,1
716431,Bot_1st,0
716431,Top_1st,0
716432,Bot_1st,0
716432,Top_1st,0
716433,Bot_1st,1
716433,Top_1st,1
716434,Bot_1st,1
716434,Top_1st,0
716435,Bot_1st,0
716435,Top_1st,0
716436,Bot_1st,0
716436,Top_1st,1
716437,Bot_1st,1
716437,Top_1st,1
